species,soil
Astragalus_idrietorum,regosols
Astragalus_hoantchy,luvisols
Astragalus_pictiformis,luvisols
Astragalus_rhizanthus,cambisols
Astragalus_titanophilus,luvisols
Astragalus_nudus,cambisols
Astragalus_berterianus,leptosols
Astragalus_casei,luvisols
Oxytropis_ochrocephala,leptosols
Astragalus_managildensis,kastanozems
Oxytropis_mollis,cambisols
Astracantha_plumosa,cambisols
Astragalus_andersonii,kastanozems
Astragalus_lonchocarpus,calcisols
Oxytropis_hirta,cambisols
Astragalus_cottonianus,calcisols
Astragalus_minimus,cambisols
Astragalus_pulsiferae,kastanozems
Astragalus_uliginosus,cambisols
Astragalus_adsurgens,chernozems
Astragalus_reflexistipulus,cambisols
Astragalus_nobilis,regosols
Astragalus_humillimus,cambisols
Astragalus_clarianus,luvisols
Astragalus_brachypus,solonetz
Astragalus_hidalgensis,leptosols
Astragalus_catabostrychos,regosols
Astragalus_turolensis,cambisols
Astragalus_monbeigii,leptosols
Oxytropis_koyukukensis,cambisols
Astragalus_piscator,calcisols
Astragalus_askius,cambisols
Oxytropis_talassica,cambisols
Oxytropis_melanocalyx,leptosols
Astragalus_osterhoutii,chernozems
Astragalus_tephrodes,luvisols
Astragalus_aquilonius,chernozems
Oxytropis_lapponica,cambisols
Astragalus_anisus,chernozems
Astracantha_deinacantha,luvisols
Oxytropis_viscida,cambisols
Astragalus_comosus,cambisols
Astragalus_sachalinensis,podzols
Astragalus_tegetarioides,kastanozems
Astragalus_micranthus,luvisols
Astragalus_onobrychis,cambisols
Astragalus_aridus,arenosols
Astragalus_toanus,cambisols
Oxytropis_eriocarpa,cambisols
Astragalus_hallii,chernozems
Astragalus_xanthomeloides,cambisols
Astragalus_vegetus,calcisols
Oxytropis_grandiflora,kastanozems
Astragalus_austroaegaeus,luvisols
Oxytropis_taochensis,cambisols
Oxytropis_riparia,kastanozems
Astragalus_pycnostachyus,cambisols
Astragalus_dipelta,kastanozems
Oxytropis_kobukensis,cambisols
Oxytropis_squammulosa,kastanozems
Astragalus_pseudocytisoides,kastanozems
Astragalus_argyroides,calcisols
Astragalus_straturensis,kastanozems
Astragalus_pachypus,regosols
Astragalus_breweri,luvisols
Astragalus_macrostachys,cambisols
Astragalus_grammocalyx,cambisols
Astragalus_tidestromii,calcisols
Astragalus_paucijugus,regosols
Astragalus_hornii,fluvisols
Astragalus_ensiformis,luvisols
Astragalus_hypoxylus,luvisols
Astragalus_adzharicus,cambisols
Astragalus_angustifolius,cambisols
Astragalus_tiehmii,cambisols
Astragalus_nelsonianus,calcisols
Astragalus_spinosus,solonchaks
Astragalus_leibergii,kastanozems
Astragalus_goktschaicus,cambisols
Astragalus_monoensis,kastanozems
Astragalus_peruvianus,cambisols
Astragalus_laguriformis,regosols
Astragalus_palmeri,regosols
Astragalus_brandegei,luvisols
Astragalus_falcatus,cambisols
Astragalus_rytilobus,cambisols
Astragalus_macrodon,kastanozems
Astragalus_kuschakewiczi,leptosols
Astragalus_corrugatus,leptosols
Astragalus_schistocalyx,regosols
Astragalus_pissisi,leptosols
Astragalus_leucocephalus,cambisols
Astragalus_polyacanthus,leptosols
Astragalus_amatus,cambisols
Astragalus_insularis,regosols
Astragalus_submitis,leptosols
Astragalus_uncialis,solonetz
Astragalus_stewartii,cambisols
Oxytropis_oxyphylloides,chernozems
Astragalus_hoffmeisteri,cambisols
Astragalus_captiosus,cambisols
Astragalus_onobrychioides,cambisols
Astragalus_atratus,kastanozems
Astragalus_cruckshanksii,leptosols
Astragalus_collinus,kastanozems
Astragalus_tweedyi,kastanozems
Astragalus_tetrapterus,cambisols
Astragalus_frickii,podzols
Astragalus_wootonii,calcisols
Oxytropis_aucheri,regosols
Oxytropis_multiceps,luvisols
Astragalus_prattii,luvisols
Astragalus_stevenianus,cambisols
Astragalus_callithrix,cambisols
Astragalus_asclepiadoides,calcisols
Astragalus_floridulus,leptosols
Oxytropis_ochroleuca,cambisols
Astragalus_kahiricus,solonchaks
Astragalus_tataricus,cambisols
Astragalus_chlorostachys,cambisols
Astragalus_trimestris,regosols
Astragalus_gilensis,luvisols
Astragalus_austriacus,cambisols
Oxytropis_parryi,chernozems
Astragalus_beckwithii,kastanozems
Astragalus_amherstianus,cambisols
Astragalus_dolichophyllus,kastanozems
Astragalus_glycyphylloides,cambisols
Astragalus_mokiacensis,luvisols
Astragalus_ripleyi,chernozems
Astragalus_garbancillo,cambisols
Astragalus_anserinifolius,regosols
Astragalus_follicularis,cambisols
Astragalus_ochrochlorus,cambisols
Astragalus_brackenridgei,cambisols
Astragalus_arenarius,cambisols
Oxytropis_arctica,cambisols
Wisteria_sinensis,acrisols
Astragalus_chuskanus,luvisols
Astragalus_pullus,luvisols
Astragalus_algerianus,kastanozems
Astragalus_paysonii,chernozems
Astragalus_bustillosii,leptosols
Astragalus_sulcatus,chernozems
Astragalus_gilmanii,kastanozems
Astragalus_scorpiurus,cambisols
Astragalus_subuliformis,chernozems
Oxytropis_williamsii,leptosols
Astragalus_schelichowii,cryosols
Astragalus_scheremetevianus,cambisols
Colutea_abyssinica,leptosols
Astragalus_wardii,kastanozems
Oxytropis_qinghaiensis,leptosols
Astragalus_mareoticus,leptosols
Astragalus_eastwoodiae,calcisols
Astragalus_rhizocephalus,cambisols
Astragalus_albertii,cambisols
Astragalus_zionis,calcisols
Astragalus_convallarius,kastanozems
Astragalus_forrestii,luvisols
Oxytropis_maydelliana,cambisols
Astragalus_strictus,leptosols
Astragalus_podolobus,regosols
Astragalus_campylorhynchus,regosols
Astragalus_bourgovii,cambisols
Astragalus_camptoceras,calcisols
Astragalus_schimperi,regosols
Astragalus_altimurensis,regosols
Astragalus_hololeios,calcisols
Astragalus_sungpanensis,leptosols
Oxytropis_savellanica,cambisols
Astragalus_schugnanicus,regosols
Astragalus_bakuensis,cambisols
Astragalus_pterocarpus,cambisols
Astragalus_campylosema,chernozems
Astragalus_roseus,albeluvisols
Astragalus_heterodontus,cambisols
Astragalus_robustus,leptosols
Astragalus_floridus,leptosols
Astragalus_oreganus,calcisols
Astragalus_drabelliformis,calcisols
Astragalus_inflexus,kastanozems
Astragalus_subcinereus,luvisols
Astragalus_looseri,cambisols
Astragalus_drummondii,kastanozems
Astragalus_trigonus,leptosols
Astragalus_orcuttianus,regosols
Astragalus_diaphanus,kastanozems
Astragalus_tricarinatus,regosols
Astragalus_guatemalensis,luvisols
Astragalus_alopecurus,cambisols
Astragalus_himalayanus,cambisols
Astragalus_clusii,calcisols
Astragalus_hartwegii,leptosols
Astragalus_longipetalus,kastanozems
Astragalus_harbisonii,regosols
Astracantha_bethlehemitica,leptosols
Astragalus_microcystis,cambisols
Astragalus_moencoppensis,calcisols
Astragalus_arguricus,cambisols
Astragalus_ruscifolius,regosols
Astragalus_masenderanus,cambisols
Oxytropis_campanulata,phaeozems
Astragalus_oxyglottis,cambisols
