Name,GenesAt50pct,ParalogWarnings
Astragalus_kadschorensis_P071_WE05,28,0
Astragalus_kahiricus_P074_WA02,65,0
Astragalus_karakugensis_P074_WD02,61,1
Astragalus_karakuschensis_P073_WH07,66,0
Astragalus_kasachstanicus_P074_WC02,62,0
Astragalus_kaschkadarjensis_P010_WD04,61,1
Astragalus_kashmarensis_P077_WA04,83,6
Astragalus_kazbeki_P071_WE06,65,0
Astragalus_kelifii_P074_WB12,28,0
Astragalus_kentrophyta_P076_WG04,70,5
Astragalus_kialensis_P010_WD11,61,0
Astragalus_kifonsanicus_P010_WE12,47,0
Astragalus_kirrindicus_P006_WE02,68,1
Astragalus_knightii_P111_WH02,66,4
Astragalus_kolymensis_P114_WC12,66,0
Astragalus_krauseanus_P013_WF11,55,0
Astragalus_kudrjaschovii_P008_WD03,64,0
Astragalus_kulabensis_P014_WA01,18,0
Astragalus_kuramensis_P064_WB07,69,0
Astragalus_kurdaicus_P114_WD08,59,0
Astragalus_kuschakewiczii_P008_WC10,41,0
Astragalus_kuschkensis_P008_WC11,68,0
Astragalus_laetus_P066_WC12,74,0
Astragalus_lagopoides_P066_WC05,67,0
Astragalus_laguriformis_P066_WC07,69,0
Astragalus_laguroides_P009_WE11,61,0
Astragalus_episcopus_P065_WG07,59,2
Astragalus_lanuginosus_P073_WH09,70,0
Astragalus_lasiosemius_P066_WD11,75,0
Astragalus_laxmannii_P010_WE01,54,0
Astragalus_layneae_P065_WC11,69,3
Astragalus_leibergii_P066_WD09,68,3
Astragalus_lemmonii_P065_WG02,65,4
Astragalus_lentiformis_P028_WF11,65,3
Astragalus_lentiginosus_P028_WG02,47,0
Astragalus_leontinus_P006_WE09,60,0
Astragalus_lepsensis_P010_WE04,43,0
Astragalus_leptocarpus_P027_WE07,60,1
Astragalus_leptocaulis_P010_WE05,54,0
Astragalus_leucocephalus_P010_WG04,69,1
Astragalus_leucolobus_P066_WA04,72,3
Astragalus_lilacinus_P064_WB09,67,0
Astragalus_limariensis_P006_WG07,65,3
Astragalus_limnocharis_P065_WE08,69,6
Astragalus_lindheimeri_P111_WH01,60,4
Astragalus_linifolius_P068_WC11,64,3
Astragalus_lipskyi_P010_WE07,72,0
Astragalus_litwinowii_P076_WA02,71,0
Astragalus_loanus_P067_WA07,73,4
Astragalus_lonchocarpus_P069_WH05,67,2
Astragalus_longipetalus_P072_WD11,71,0
Astragalus_longipetiolatus_P072_WF11,72,0
Astragalus_longissimus_P026_WC04,63,3
Astragalus_looseri_P070_WH01,28,0
Astragalus_lotiflorus_P066_WD08,71,5
Astragalus_lumsdenianus_P075_WA07,72,0
Astragalus_lupulinus_P009_WF05,63,0
Astragalus_lutosus_P024_WC05,53,2
Astragalus_lyallii_P008_WA03,69,6
Astragalus_macrobotrys_P073_WD02,62,0
Astragalus_macrocephalus_P010_WD06,74,11
Astragalus_macrocladus_P010_WE09,48,0
Astragalus_macrodon_P066_WA05,66,4
Astragalus_macropelmatus_P063_WH10,73,0
Astragalus_macropodium_P013_WC05,59,0
Astragalus_macropterus_P008_WD06,61,0
Astragalus_macropus_P063_WF11,51,0
Astragalus_macrostachys_P071_WG11,66,0
Astragalus_macrotropis_P063_WF04,54,0
Astragalus_magdalenae_P019_WB05,57,2
Astragalus_mahoschanicus_P008_WD01,65,0
Astragalus_malacoides_P065_WC12,71,4
Astragalus_malacus_P111_WH04,58,4
Astragalus_managildensis_P064_WB08,67,0
Astragalus_mareoticus_P074_WE12,70,5
Astragalus_maroccanus_P072_WB06,56,0
Astragalus_masenderanus_P063_WG10,49,0
Astragalus_mattam_P008_WC12,70,0
Astragalus_maurorum_P114_WD09,71,2
Astragalus_juratzkanus_P010_WE02,59,0
Astragalus_maximowiczii_P001_WF05,50,0
Astragalus_maxwellii_P010_WF07,55,0
Astragalus_medius_P075_WG12,73,5
Astragalus_megacarpus_P065_WC10,71,5
Astragalus_megalanthus_P071_WA08,66,0
Astragalus_megalomerus_P008_WD04,52,0
Astragalus_melanostachys_P063_WG01,51,0
Astragalus_melilotoides_P013_WD01,66,0
Astragalus_mesites_P070_WC06,71,1
Astragalus_michauxii_P028_WF12,2,0
Astragalus_micranthellus_P046_WA05,64,0
Astragalus_micranthus_P026_WB06,16,0
Astragalus_microcalycinus_P071_WG10,59,0
Astragalus_microcystis_P066_WF06,63,4
Astragalus_micromerius_P069_WH10,72,5
Astragalus_microphysa_P073_WH05,59,0
Astragalus_miguelensis_P024_WC09,56,0
Astragalus_miniatus_P075_WG10,69,1
Astragalus_minimus_P065_WA03,66,1
Astragalus_minthorniae_P024_WC06,59,1
Astragalus_minutidentatus_P009_WE08,64,1
Astragalus_minutissimus_P040_WC08,83,5
Astragalus_mirabilis_P070_WF01,73,0
Astragalus_misellus_P065_WD11,73,4
Astragalus_miser_P065_WB09,64,4
Astragalus_missouriensis_P024_WC03,59,1
Astragalus_moencoppensis_P066_WA12,71,2
Astragalus_mohavensis_P065_WB10,63,1
Astragalus_mokiacensis_P066_WB12,71,4
Astragalus_mollissimus_P025_WH10,60,0
Astragalus_molybdenus_P066_WH11,68,3
Astragalus_monadelphus_P070_WC10,51,0
Astragalus_monanthemus_P072_WG03,70,0
Astragalus_monbeigii_P013_WE06,66,0
Astragalus_mongholicus_P013_WE09,60,0
Astragalus_kuschakewiczii_P070_WC09,70,0
Astragalus_monoensis_P065_WC07,59,0
Astragalus_monspessulanus_P072_WA06,66,0
Astragalus_monticola_P006_WE07,63,4
Astragalus_monumentalis_P066_WA01,70,4
Astragalus_moranii_P026_WA08,68,4
Astragalus_trifoliolatus_P071_WG02,59,0
Astragalus_mucidus_P069_WA04,52,0
Astragalus_mucronifolius_P063_WH11,67,0
Astragalus_mugosaricus_P069_WA05,63,0
Astragalus_mulfordiae_P068_WA11,70,4
Astragalus_muliensis_P013_WD07,65,1
Astragalus_munroi_P071_WA09,70,0
Astragalus_murinus_P072_WB11,63,0
Astragalus_muschketovii_P013_WE02,58,0
Astragalus_musiniensis_P068_WD12,66,4
Astragalus_namanganicus_P064_WA07,56,0
Astragalus_naturitensis_P068_WA12,69,5
Astragalus_neglectus_P065_WB08,55,1
Astragalus_nelsonianus_P067_WF06,71,3
Astragalus_nematodes_P069_WA07,67,0
Astragalus_neolipskyanus_P075_WG09,66,0
Astragalus_neomexicanus_P111_WG12,65,4
Astragalus_neomonadelphus_P013_WE01,53,0
Astragalus_neuquenensis_P072_WB05,49,0
Astragalus_neurophyllus_P013_WD11,50,0
Astragalus_nevinii_P111_WH03,59,3
Astragalus_newberryi_P070_WA10,69,5
Astragalus_nicolai_P070_WC11,76,1
Astragalus_nidularius_P067_WF05,72,5
Astragalus_nigricans_P013_WD10,60,0
Astragalus_ninae_P077_WD11,65,0
Astragalus_nivalis_P013_WD06,60,0
Astragalus_nivicola_P066_WB11,54,0
Astragalus_nobilis_P013_WD08,56,0
Astragalus_norvegicus_P071_WD11,53,0
Astragalus_nothoxys_P026_WB02,69,2
Astragalus_noziensis_P072_WG09,70,0
Astragalus_nudisiliquus_P065_WH11,73,3
Astragalus_nudus_P006_WF03,63,2
Astragalus_nutans_P112_WA02,64,6
Astragalus_nutriosensis_P065_WD01,70,5
Astragalus_nuttallianus_P026_WB01,69,6
Astragalus_nuttallii_P065_WC09,63,2
Astragalus_nutzotinensis_P065_WC06,59,0
Astragalus_nyensis_P066_WF12,66,2
Astragalus_obcordatus_P029_WC04,64,3
Astragalus_obscurus_P065_WB11,66,4
Astragalus_ochrochlorus_P063_WF09,61,0
Astragalus_odoratus_P063_WG05,65,0
Astragalus_olchonensis_P063_WE07,65,0
Astragalus_oldenburgii_P013_WF08,55,0
Astragalus_oniciformis_P065_WC05,68,3
Astragalus_onobrychioides_P072_WC01,45,0
Astragalus_onobrychis_P071_WD10,63,0
Astragalus_oocalycis_P065_WG03,59,5
Astragalus_oocarpus_P077_WF07,71,5
Astragalus_oophorus_P024_WC02,57,1
Astragalus_orbiculatus_P013_WE11,56,1
Astragalus_orcuttianus_P026_WA12,71,3
Astragalus_oreganus_P075_WD12,65,0
Astragalus_ornithopodioides_P072_WB01,69,0
Astragalus_ornithorrhynchus_P068_WC08,67,0
Astragalus_osterhoutii_P065_WC03,65,3
Astragalus_oxyglottis_P071_WD07,66,0
Astragalus_oxyphysopsis_P026_WA07,54,0
Astragalus_oxyphysus_P026_WA11,10,0
Astragalus_pachypus_P066_WF08,63,3
Astragalus_pachyrachis_P063_WG08,48,0
Astragalus_palenae_P065_WB05,50,1
Astragalus_palmeri_P024_WC01,53,0
Astragalus_pamirensis_P013_WF03,64,0
Astragalus_panamintensis_P065_WH08,70,5
Astragalus_paposanus_P046_WA06,74,3
Astragalus_pardalinus_P067_WD06,74,4
Astragalus_parodii_P076_WD11,54,0
Astragalus_parryi_P067_WH06,73,4
Astragalus_parvus_P026_WC03,72,6
Astragalus_patagonicus_P009_WG04,69,0
Astragalus_pattersonii_P024_WC08,69,8
Astragalus_paucijugus_P072_WA08,67,1
Astragalus_pauperculus_P067_WH05,62,3
Astragalus_pavlovii_P069_WA06,68,0
Astragalus_paysonii_P071_WD02,67,4
